plik = data980/temp_10.txt 	 a = 0.410789929797 	 da = 1.31481048142e-06 	 b = -0.000342292764614 	 db = 5.51829797213e-11 	 I_0 = 0.000833255004044496 	 dI_0 = -1.6388272472e-07 
plik = data980/temp_15.txt 	 a = 0.398655312383 	 da = 1.77454204789e-06 	 b = -0.000318511347331 	 db = 7.0380353292e-11 	 I_0 = 0.000798964261700110 	 dI_0 = 2.24522994134e-07 
plik = data980/temp_20.txt 	 a = 0.39385169178 	 	 da = 2.21384219506e-06 	 b = -0.000335945871609 	 db = 7.96047885895e-11 	 I_0 = 0.000852975570807493 	 dI_0 = 2.41751766268e-07 
plik = data980/temp_25.txt 	 a = 0.390662718538 	 da = 1.51308061459e-06 	 b = -0.000374564155872 	 db = 5.445616399e-11 	 I_0 = 0.000958791658630837 	 dI_0 = 1.49098919498e-07 
plik = data980/temp_30.txt 	 a = 0.389431794027 	 da = 8.24027596281e-07 	 b = -0.000417062301023 	 db = 2.95911137066e-11 	 I_0 = 0.00107095082481798 	 dI_0 = 7.32174072657e-08 
plik = data980/temp_35.txt 	 a = 0.381198615882 	 da = 9.96191476322e-07 	 b = -0.000426131921504 	 db = 3.67072426783e-11 	 I_0 = 0.00111787373759970 	 dI_0 = 8.90619152575e-08 
plik = data980/temp_40.txt 	 a = 0.369568972019 	 da = 1.42869889761e-06 	 b = -0.000413833784964 	 db = 5.16878961145e-11 	 I_0 = 0.00111977415935007 	 dI_0 = 1.29229017236e-07 
plik = data980/temp_45.txt 	 a = 0.355553850968 	 da = 1.70065941993e-06 	 b = -0.000395493837272 	 db = 5.87451614131e-11 	 I_0 = 0.00111233175001661 	 dI_0 = 1.53856649167e-07 
plik = data980/temp_50.txt 	 a = 0.346480442722 	 da = 1.27563016566e-06 	 b = -0.000411593135087 	 db = 4.74561517165e-11 	 I_0 = 0.00118792602506803 	 dI_0 = 1.19672259556e-07 
plik = data980/temp_55.txt 	 a = 0.349809587417 	 da = 1.58330261913e-06 	 b = -0.000488259747672 	 db = 5.21624765537e-11 	 I_0 = 0.00139578720891414 	 dI_0 = 1.1315104656e-07 
plik = data980/temp_60.txt 	 a = 0.343586674308 	 da = 2.06601511574e-06 	 b = -0.000507933398632 	 db = 6.99918195228e-11 	 I_0 = 0.00147832682875664 	 dI_0 = 1.46686539805e-07 
plik = data980/temp_65.txt 	 a = 0.329658860369 	 da = 2.4216454312e-06 	 b = -0.0005000220205 	 db = 8.03187886707e-11 	 I_0 = 0.00151678623149970 	 dI_0 = 1.71772683277e-07 
plik = data980/temp_70.txt 	 a = 0.316279320871 	 da = 1.89560127677e-06 	 b = -0.000515524945295 	 db = 6.30388929277e-11 	 I_0 = 0.00162996728295620 	 dI_0 = 1.32050086816e-07 
plik = data980/temp_75.txt 	 a = 0.304786285937 	 da = 1.94794917036e-06 	 b = -0.000541388681836 	 db = 6.35484592438e-11 	 I_0 = 0.00177628950781767 	 dI_0 = 1.28733088455e-07 
plik = data980/temp_80.txt 	 a = 0.298950357139 	 da = 1.47966096735e-06 	 b = -0.000598800111795 	 db = 4.92434308394e-11 	 I_0 = 0.00200300851795250 	 dI_0 = 9.21507751265e-08 

plik = data980/temp_85.txt 	 a = 0.291709420068 	 da = 2.36262173567e-06 	 b = -0.000637963369414 	 db = 7.78879699024e-11 	 I_0 = 0.00218698240620754 	 dI_0 = 1.39801341085e-07 
plik = data980/temp_90.txt 	 a = 0.283518412635 	 da = 2.50906271446e-06 	 b = -0.000675490615599 	 db = 8.21913608118e-11 	 I_0 = 0.00238252820803233 	 dI_0 = 1.42761282246e-07 
